Title,Price,Image URL
"VSITOO Car Electric Kettle Travel Kettle Mini Tea Kettle Electric Water Boiler With Automatic Shut off & Keep Warm, Electric 306 Stainless Steel Water Boilers with One Key to Boil Water, DC12V/24V",$75.69 –,https://c1.neweggimages.com/ProductImageCompressAll300/BFDSS230707087BXK94.jpg
"VSITOO Car Electric Kettle Travel Kettle Mini Tea Kettle Electric Water Boiler With Automatic Shut off & Keep Warm, Electric 306 Stainless Steel Water Boilers with One Key to Boil Water, DC12V/24V",$75.69 –,https://c1.neweggimages.com/ProductImageCompressAll300/BFDSS2308220F1ANO01.jpg
Hamilton Beach 47900 Black Brew Station 12-Cup Dispensing Programmable Coffeemaker with Removable Water Reservoir,$55.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/96-705-356-05.jpg
"58MM Espresso Coffee tamper set, Calibrated Espresso Coffee Tamper with Spring Loaded, Espresso Tamper Mat Anti-slip, Coffee Dosing Ring Compatible with 58mm Breville Portafilter (3 Pack)",,https://c1.neweggimages.com/ProductImageCompressAll300/BF45S23041709BX8GE6.jpg
Hamilton Beach 49920 Black FlexBrew TRIO Coffee Maker with 12 Cup Thermal Carafe,$119.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/96-705-827-01.jpg
Hamilton Beach 12-Cup BrewStation Dispensing Drip Coffeemaker 47950,$62.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/96-705-357-03.jpg
Hamilton Beach 49500 Silver 12 Cup Professional Programmable Coffee Maker Silver,,https://c1.neweggimages.com/ProductImageCompressAll300/96-705-785-V01.jpg
Keurig K1500 Commercial Coffee Maker Brewer,$399.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/A61K_131904795701022255Yj92wjSACa.jpg
Hamilton Beach 40514 Black/Steel 40 Cup Dispensing Coffee Urn,$74.85 –,https://c1.neweggimages.com/ProductImageCompressAll300/96-705-409-03.jpg
Hamilton Beach 49921 Black FlexBrew Single-Serve Iced & Hot Coffee Maker,$69.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/96-705-828-02.jpg
"WESTLAKE Commercial Ice Machine Real 500lbs Capacity Full Cube NSF Certificated 270lbs 
 Storage Stainless Steel Ice Maker Auto Operation Including Scoop &Water Filter For Restaurant ,Bar,Coffee Shop","$2,998.00 –",https://c1.neweggimages.com/ProductImageCompressAll300/BGSBS2211090DE6MA62.jpg
Hamilton Beach 49917 FlexBrew Trio Coffee Maker,$109.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/96-705-832-01.png
Proctor Silex 43686 FrontFill 12 Cup Coffee Maker,$49.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/96-625-054-S01.jpg
"Casabrews 20 Bar Espresso machine Coffee Maker with Milk Frother, Yellow",$169.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/BSUCS2312050785QTA2.jpg
"Cuisinart SS-15BKS Stainless Coffee Center 12 Cup Coffeemaker And Single-Serve Brewer, Black",$279.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/A1JX_1_201806111297666882.jpg
"Casabrews 20 Bar Espresso Machine Coffee Maker W/ Powerful Steam Wand Stainless Steel, Silver",$149.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/BSUCS23110407N0ZA15.jpg
Hamilton Beach The Scoop Single-Serve Coffee Maker,$44.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/96-705-796-01.jpg
Proctor Silex 43501PS 12-Cup Coffee Maker White,$37.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/A0SD_1_20160503108579076.jpg
"CASABREWS 20 Bar Espresso Machine Coffee Maker with  49 oz Water Tank and Steam Milk Frother, Sliver",$129.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/BSUCS2311060ID6DRA6.jpg
"proctor-silex single-serve coffee maker compatible with pod packs and grounds, 40 oz. reservoir makes four 10 oz. cups without refilling, black & stainless steel (49919)",$40.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/AZF8D2207140NYAUK07.jpg
Hamilton Beach 49987 The Scoop Single-Serve Stainless Steel Coffee Maker with Removable Reservoir,$69.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/96-705-764-S03.jpg
"Casabrews 20 Bar Espresso Machine Semi-Automatic Coffee Maker with Milk Frother, Stainless Steel, Silver",$149.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/BSUCS2311060KZJPV84.jpg
"BUNN GRB Velocity Brew 10-Cup Home Coffee Brewer, Black",$175.49 (8 Offers)–,https://c1.neweggimages.com/ProductImageCompressAll300/96-132-025-01.jpg
"Keurig K-Express Essentials K25 Single Serve K-Cup Pod Coffee Maker, Black",$68.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/B39GS2209160JI7GPE7.jpg
"Casabrews All-in-One Espresso Machine Cappuccino Coffee Maker with Grinder, Stainless Steel, Sliver",$499.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/BSUCS2311070B91VY0A.jpg
"Nostalgia Retro 12-Cup Programmable Coffeemaker with LED Display, Automatic Shut-Off & Keep Warm, Pause-and-Serve Function - Aqua (RCOF12AQ)",$66.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/AZF8D21081213A05L.jpg
"Cuisinart DCC-1200PRC Black 12-cup Replacement Carafe, Black",$29.80 (3 Offers)–,https://c1.neweggimages.com/ProductImageCompressAll300/96-110-200-03.jpg
Hamilton Beach 12 Cup Programmable Coffee Maker,$39.85 –,https://c1.neweggimages.com/ProductImageCompressAll300/96-705-795-01.jpg
Hamilton Beach 49901 Black FlexBrew Single-Serve Coffee Maker with Removable Reservoir,$69.85 –,https://c1.neweggimages.com/ProductImageCompressAll300/96-705-800-01.jpg
Hamilton Beach 49900 Black FlexBrew Single-Serve Coffee Maker,$49.85 –,https://c1.neweggimages.com/ProductImageCompressAll300/96-705-786-V01.jpg
"bunn csb3t speed brew platinum thermal coffee maker,",$224.29 (9 Offers)–,https://c1.neweggimages.com/ProductImageCompressAll300/AJ7W_1_20190724175783639.jpg
Cuisinart DCC-3000P1 Black/Stainless Coffee On Demand 12 Cup Programmable Coffeemaker,$128.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/96-171-911-04.jpg
Hamilton Beach 42500 Convenient Craft Rapid Cold Brew and Hot Coffee Maker,$59.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/96-705-749-V01.jpg
"proctor silex 43687 frontfill programmable 12 cup coffee maker, black",$59.99 (2 Offers)–,https://c1.neweggimages.com/ProductImageCompressAll300/AZF8D210812139Z0L.jpg
Cuisinart SSGB1 Coffee Center GRIND & BREW PLUS,$245.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/0TS-0004-002W6-S03.jpg
"Cuisinart DCC-450BK 4-Cup Coffeemaker with Stainless-Steel Carafe, Black",$64.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/96-110-068-01.jpg
Electric 20Bar Italian Coffee Maker Household Americano Automatic Coffee Machine Fancy Milk Foamr 220V,$348.00 –,https://c1.neweggimages.com/ProductImageCompressAll300/BK4JS2303160IOB8Z71.jpg
"Cuisinart DCC-3200P1 PerfecTemp 14-Cup Programmable Coffeemaker with Glass Carafe, Fully Automatic Allows for Brew Strength Control and 1-4 Cup Setting, Stainless Steel",$129.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/B7VES2207190ZKBNY0A.jpg
Coffee Pro Brewer,$350.99 –,https://c1.neweggimages.com/ProductImageCompressAll300/96-907-006-S01.jpg
Technivorm 79112 MoccaMaster KBT Coffee Maker - Polished Silver,$339.00 –,https://c1.neweggimages.com/ProductImageCompressAll300/A52K_1_20140807101103473.jpg
