CustomerID,Recency,RecencyCluster,Frequency,FrequencyCluster,Revenue,RevenueCluster,OverallScore,Segment_High-Value,Segment_Low-Value,Segment_Mid-Value,NextPurchaseDayRange
12578,255,0,76,0,691096.14,0,0,False,True,False,0
12829,261,0,12,0,96552.96,0,0,False,True,False,0
12967,240,0,20,0,998613.61,0,0,False,True,False,0
13329,293,0,9,0,95908.79,0,0,False,True,False,0
13506,251,0,29,0,182924.53,0,0,False,True,False,0
13672,240,0,16,0,-39552.240000000005,0,0,False,True,False,0
13680,275,0,91,0,902209.7200000001,0,0,False,True,False,0
13819,240,0,36,0,1826980.1,0,0,False,True,False,0
13963,247,0,35,0,400455.47,0,0,False,True,False,0
14176,236,0,32,0,349377.97000000003,0,0,False,True,False,0
14229,230,0,29,0,223608.21,0,0,False,True,False,0
15100,268,0,6,0,92799.42,0,0,False,True,False,0
15107,250,0,20,0,79599.3,0,0,False,True,False,0
15881,250,0,32,0,124519.69,0,0,False,True,False,0
15983,299,0,80,0,951661.1,0,0,False,True,False,0
16499,299,0,22,0,48582.560000000005,0,0,False,True,False,0
16725,240,0,142,0,292886.95,0,0,False,True,False,0
17062,252,0,70,0,347367.02999999997,0,0,False,True,False,0
17095,237,0,36,0,124323.23,0,0,False,True,False,0
17334,239,0,12,0,100432.26,0,0,False,True,False,0
17406,269,0,110,0,764242.57,0,0,False,True,False,0
17796,252,0,76,0,86501.04000000001,0,0,False,True,False,0
17884,250,0,91,0,511550.84,0,0,False,True,False,0
17912,249,0,39,0,91897.73,0,0,False,True,False,0
17951,293,0,10,0,41503.22,0,0,False,True,False,0
12347,68,2,124,0,1085038.72,0,2,False,True,False,0
12359,128,2,145,0,425018.26,0,2,False,True,False,0
12383,123,2,100,0,816497.38,0,2,False,True,False,0
12399,58,2,59,0,847793.71,0,2,False,True,False,0
12407,72,2,64,0,1100327.45,0,2,False,True,False,0
12429,111,2,70,0,544416.92,0,2,False,True,False,0
12463,114,2,64,0,637027.85,0,2,False,True,False,0
12468,82,2,40,0,175569.35,0,2,False,True,False,0
12480,82,2,114,0,1266756.48,0,2,False,True,False,0
12493,104,2,23,0,109552.04,0,2,False,True,False,0
12494,96,2,56,0,300014.28,0,2,False,True,False,0
12507,72,2,23,0,241797.25,0,2,False,True,False,0
12594,60,2,94,0,1334082.78,0,2,False,True,False,0
12599,65,2,48,0,737898.22,0,2,False,True,False,0
12601,128,2,29,0,142574.29,0,2,False,True,False,0
12633,68,2,88,0,874833.59,0,2,False,True,False,0
12643,67,2,24,0,1701438.68,0,2,False,True,False,0
12669,89,2,102,0,635263.3,0,2,False,True,False,0
12691,84,2,21,0,339823.38,0,2,False,True,False,0
12693,59,2,41,0,134662.62,0,2,False,True,False,0
12775,128,2,53,0,919686.23,0,2,False,True,False,0
12779,128,2,111,0,2459159.58,0,2,False,True,False,0
12782,88,2,93,0,1026319.59,0,2,False,True,False,0
12836,76,2,125,0,1040603.6,0,2,False,True,False,0
12840,82,2,116,0,1496714.1199999999,0,2,False,True,False,0
12868,124,2,107,0,978401.3099999999,0,2,False,True,False,0
12891,124,2,3,0,1145300.0,0,2,False,True,False,0
12916,77,2,105,0,1527212.27,0,2,False,True,False,0
12928,86,2,54,0,677765.1799999999,0,2,False,True,False,0
12942,70,2,70,0,217817.94999999998,0,2,False,True,False,0
