CustomerID,NextPurchaseDay,Recency,RecencyCluster,Frequency,FrequencyCluster,Revenue,RevenueCluster,OverallScore,Segment
12346,499.0,264,0,2,0,0.0,0,0,Low-Value
12350,499.0,249,0,17,0,126060.98000000001,0,0,Low-Value
12365,499.0,230,0,23,0,118857.53,0,0,Low-Value
12373,499.0,250,0,14,0,324618.36,0,0,Low-Value
12377,499.0,254,0,77,0,907400.3,0,0,Low-Value
12386,499.0,276,0,10,0,50855.82,0,0,Low-Value
12401,499.0,242,0,5,0,10205.93,0,0,Low-Value
12402,499.0,262,0,11,0,78029.36,0,0,Low-Value
12410,499.0,240,0,28,0,169534.78,0,0,Low-Value
12427,291.0,290,0,13,0,108478.83,0,0,Low-Value
12441,499.0,305,0,11,0,69532.1,0,0,Low-Value
12462,275.0,233,0,44,0,378096.34,0,0,Low-Value
12489,499.0,275,0,15,0,107409.42,0,0,Low-Value
12503,499.0,276,0,1,0,-648.28,0,0,Low-Value
12505,499.0,240,0,1,0,-648.28,0,0,Low-Value
12515,499.0,292,0,16,0,117424.59999999999,0,0,Low-Value
12551,499.0,296,0,10,0,105959.2,0,0,Low-Value
12559,499.0,249,0,22,0,97887.78,0,0,Low-Value
12561,499.0,241,0,16,0,123636.94,0,0,Low-Value
12574,499.0,254,0,11,0,21198.120000000003,0,0,Low-Value
12577,323.0,298,0,67,0,93123.01,0,0,Low-Value
12578,295.0,255,0,76,0,691096.14,0,0,Low-Value
12586,351.0,307,0,1,0,-139.98,0,0,Low-Value
12591,499.0,256,0,26,0,170557.91,0,0,Low-Value
12605,499.0,304,0,3,0,-3924.57,0,0,Low-Value
12651,499.0,273,0,9,0,64498.98,0,0,Low-Value
12652,499.0,260,0,51,0,418922.89,0,0,Low-Value
12665,499.0,263,0,4,0,261875.39,0,0,Low-Value
12666,499.0,298,0,2,0,-16287.68,0,0,Low-Value
12672,499.0,268,0,10,0,59313.42,0,0,Low-Value
12673,321.0,265,0,23,0,167186.82,0,0,Low-Value
12686,499.0,310,0,7,0,49112.18,0,0,Low-Value
12707,499.0,230,0,33,0,173446.82,0,0,Low-Value
12725,499.0,310,0,24,0,90172.29000000001,0,0,Low-Value
12734,499.0,291,0,4,0,85558.95999999999,0,0,Low-Value
12735,499.0,254,0,43,0,287737.58,0,0,Low-Value
12736,499.0,271,0,4,0,292205.16000000003,0,0,Low-Value
12738,499.0,310,0,11,0,176728.16,0,0,Low-Value
12764,499.0,255,0,45,0,428925.62,0,0,Low-Value
12785,361.0,303,0,14,0,171806.86,0,0,Low-Value
12791,499.0,312,0,2,0,5167.08,0,0,Low-Value
12793,499.0,273,0,24,0,299922.7,0,0,Low-Value
12797,499.0,298,0,17,0,77645.16,0,0,Low-Value
12829,499.0,261,0,12,0,96552.96,0,0,Low-Value
12838,340.0,312,0,59,0,155080.24,0,0,Low-Value
12852,499.0,229,0,20,0,60763.47,0,0,Low-Value
12855,499.0,311,0,3,0,4235.34,0,0,Low-Value
12870,499.0,305,0,2,0,-428.98,0,0,Low-Value
12872,499.0,265,0,66,0,519800.8,0,0,Low-Value
12943,499.0,240,0,1,0,-43.2,0,0,Low-Value
12944,319.0,293,0,14,0,115708.62000000001,0,0,Low-Value
12956,499.0,245,0,19,0,69605.55,0,0,Low-Value
12967,298.0,240,0,20,0,998613.61,0,0,Low-Value
12970,315.0,261,0,8,0,9708.77,0,0,Low-Value
12988,499.0,231,0,83,0,115154.26999999999,0,0,Low-Value
13002,499.0,257,0,7,0,44630.0,0,0,Low-Value
13008,499.0,262,0,15,0,85373.11,0,0,Low-Value
13011,499.0,310,0,3,0,22648.54,0,0,Low-Value
13030,356.0,307,0,57,0,154276.47999999998,0,0,Low-Value
13033,499.0,296,0,11,0,36679.38999999999,0,0,Low-Value
13034,314.0,308,0,11,0,130571.24,0,0,Low-Value
13044,499.0,230,0,33,0,165652.69,0,0,Low-Value
13065,499.0,311,0,14,0,87864.67,0,0,Low-Value
13068,309.0,258,0,1,0,84999.0,0,0,Low-Value
13077,289.0,229,0,61,0,417189.85000000003,0,0,Low-Value
13108,499.0,311,0,10,0,217099.30000000002,0,0,Low-Value
13144,499.0,271,0,3,0,539.31,0,0,Low-Value
13161,499.0,252,0,8,0,46630.44,0,0,Low-Value
13165,305.0,290,0,13,0,139890.96,0,0,Low-Value
13171,250.0,238,0,23,0,32759.790000000005,0,0,Low-Value
13173,363.0,306,0,23,0,70100.07,0,0,Low-Value
13187,499.0,275,0,37,0,81894.24,0,0,Low-Value
13255,364.0,312,0,6,0,42639.02,0,0,Low-Value
13270,499.0,305,0,1,0,119998.0,0,0,Low-Value
13284,499.0,261,0,14,0,122951.68,0,0,Low-Value
13295,499.0,298,0,11,0,42048.03,0,0,Low-Value
13304,499.0,290,0,21,0,184918.26,0,0,Low-Value
13328,499.0,255,0,17,0,281102.72,0,0,Low-Value
13329,322.0,293,0,9,0,95908.79,0,0,Low-Value
13369,499.0,293,0,19,0,146137.4,0,0,Low-Value
13370,499.0,305,0,44,0,204808.28,0,0,Low-Value
13385,499.0,268,0,35,0,261966.2,0,0,Low-Value
13396,290.0,258,0,14,0,173906.52000000002,0,0,Low-Value
13421,249.0,229,0,65,0,280061.37,0,0,Low-Value
13473,269.0,269,0,13,0,90548.67,0,0,Low-Value
13494,499.0,250,0,18,0,125390.44,0,0,Low-Value
13496,347.0,296,0,27,0,221016.41,0,0,Low-Value
13506,499.0,251,0,29,0,182924.53,0,0,Low-Value
13551,499.0,258,0,4,0,8720.94,0,0,Low-Value
13565,315.0,273,0,13,0,55714.93,0,0,Low-Value
13569,350.0,306,0,22,0,43289.26,0,0,Low-Value
13579,354.0,308,0,9,0,95996.42,0,0,Low-Value
13581,499.0,248,0,10,0,24974.02,0,0,Low-Value
13584,499.0,245,0,24,0,40413.92,0,0,Low-Value
13600,499.0,251,0,19,0,117719.03,0,0,Low-Value
13615,499.0,251,0,24,0,230876.51,0,0,Low-Value
